Institute ID,Name,City,State,Score,Rank
IR-E-U-0213,Alliance UniversityMore Details |  |,Bengaluru,Karnataka,33,159
IR-E-C-16537,St. Josephs College of EngineeringMore Details |  |,Kancheepuram,Tamil Nadu,32.95,160
IR-E-C-19754,SR Engineering CollegeMore Details |  |,Warangal,Telangana,32.95,160
IR-E-U-0604,Amity University GwaliorMore Details |  |,Gwalior,Madhya Pradesh,32.88,162
IR-E-C-6238,Haldia Institute of TechnologyMore Details |  |,Haldia,West Bengal,32.83,163
IR-E-C-8277,Government Engineering CollegeMore Details |  |,Thrissur,Kerala,32.81,164
IR-E-I-1015,Vishwakarma Institute of TechnologyMore Details |  |,Pune,Maharashtra,32.72,165
IR-E-U-0864,Harcourt Butler Technical UniversityMore Details |  |,Kanpur Nagar,Uttar Pradesh,32.69,166
IR-E-U-0564,University of Petroleum and Energy StudiesMore Details |  |,Dehradun,Uttarakhand,32.51,167
IR-E-C-11015,Walchand College of EngineeringMore Details |  |,Sangli,Maharashtra,32.39,168
IR-E-C-1336,BMS Institute of Technology & ManagementMore Details |  |,Bengaluru,Karnataka,32.36,169
IR-E-C-19706,Institute of Aeronautical EngineeringMore Details |  |,Hyderabad,Telangana,32.26,170
IR-E-C-33584,K. J. Somaiya College of EngineeringMore Details |  |,Mumbai,Maharashtra,32.25,171
IR-E-C-19534,Goka Raju Ranga Raju Institute of Engineering & TechnologyMore Details |  |,Hyderabad,Telangana,32.24,172
IR-E-C-42242,Maharshi Karve Stree Shikshan Samstha's Cummins College of Engineering for WomenMore Details |  |,Pune,Maharashtra,32.23,173
IR-E-U-0169,ManavRachna International Institute of Research & StudiesMore Details |  |,Faridabad,Haryana,32.21,174
IR-E-C-1438,The National Institute of EngineeringMore Details |  |,Mysore,Karnataka,32.17,175
IR-E-C-16572,Sri Venkateswara College of EngineeringMore Details |  |,Kancheepuram,Tamil Nadu,32.12,176
IR-E-U-0147,Pandit Deendayal Petroleum UniversityMore Details |  |,Gandhinagar,Gujarat,32.08,177
IR-E-C-9462,"School of Engineering, Cochin University of Science and TechnologyMore Details |  |",Cochin,Kerala,32.04,178
IR-E-C-30153,"Silicon Institute of Technology (SIT), BhubaneswarMore Details |  |",Bhubaneswar,Odisha,32,179
IR-E-C-19747,Anurag Group of InstitutionsMore Details |  |,Hyderabad,Telangana,31.74,180
IR-E-U-0373,Chitkara UniversityMore Details |  |,Rajpura,Punjab,31.72,181
IR-E-U-0455,"Indian Institute of Information Technology, Design & ManufacturingMore Details |  |",Chennai,Tamil Nadu,31.63,182
IR-E-U-0739,Madan Mohan Malaviya University of TechnologyMore Details |  |,Gorakhpur,Uttar Pradesh,31.6,183
IR-E-C-26929,Sree Vidyanikethan Engineering CollegeMore Details |  |,A.Rangampet,Andhra Pradesh,31.54,184
IR-E-C-26928,JNTUA College of EngineeringMore Details |  |,Anantapur,Andhra Pradesh,31.52,185
IR-E-C-1398,BNM Institute of TechnologyMore Details |  |,Bengaluru,Karnataka,31.48,186
