PARID,BOROCODE,BLOCK,LOT,TAXYEAR,STREET NUMBER,STREET NAME,Postcode,BLDG_CLASS,TAXCLASS,OWNER_NAME,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
1015571104,1,1557,1104,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571105,1,1557,1105,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571106,1,1557,1106,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571107,1,1557,1107,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571108,1,1557,1108,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571109,1,1557,1109,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571110,1,1557,1110,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571111,1,1557,1111,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571112,1,1557,1112,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571113,1,1557,1113,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571114,1,1557,1114,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571115,1,1557,1115,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571116,1,1557,1116,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571117,1,1557,1117,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571118,1,1557,1118,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571119,1,1557,1119,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571120,1,1557,1120,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571121,1,1557,1121,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571122,1,1557,1122,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571123,1,1557,1123,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571124,1,1557,1124,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571125,1,1557,1125,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571126,1,1557,1126,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571127,1,1557,1127,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571128,1,1557,1128,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571129,1,1557,1129,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571130,1,1557,1130,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571131,1,1557,1131,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571132,1,1557,1132,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571133,1,1557,1133,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571134,1,1557,1134,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571135,1,1557,1135,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571136,1,1557,1136,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571137,1,1557,1137,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571138,1,1557,1138,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571139,1,1557,1139,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571140,1,1557,1140,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571141,1,1557,1141,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571142,1,1557,1142,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571143,1,1557,1143,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571144,1,1557,1144,2021,301,EAST 94 STREET,10128,RH,4,"MARMARA, INC.",MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571145,1,1557,1145,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571146,1,1557,1146,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571147,1,1557,1147,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571148,1,1557,1148,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571149,1,1557,1149,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571150,1,1557,1150,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571151,1,1557,1151,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571152,1,1557,1152,2021,301,EAST 94 STREET,10128,RH,4,"MARMARA, INC.",MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571153,1,1557,1153,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571154,1,1557,1154,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571155,1,1557,1155,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571156,1,1557,1156,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571157,1,1557,1157,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571158,1,1557,1158,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571159,1,1557,1159,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571160,1,1557,1160,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571161,1,1557,1161,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571162,1,1557,1162,2021,301,EAST 94 STREET,10128,RH,4,MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571163,1,1557,1163,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571164,1,1557,1164,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571165,1,1557,1165,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571166,1,1557,1166,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571167,1,1557,1167,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571168,1,1557,1168,2021,301,EAST 94 STREET,10128,RH,4,MARMARA INC,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571169,1,1557,1169,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571170,1,1557,1170,2021,301,EAST 94 STREET,10128,RH,4,"MARMARA, INC.",MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571171,1,1557,1171,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571172,1,1557,1172,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571173,1,1557,1173,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571174,1,1557,1174,2021,301,EAST 94 STREET,10128,RH,4,"MARMARA, INC.",MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
1015571175,1,1557,1175,2021,301,EAST 94 STREET,10128,RH,4,THE MARMARA INC.,MANHATTAN,40.782799,-73.947678,108,5,15601,1050324,1015577502,Yorkville
